Round,PrixCountry,GrandPrix,"Position Country",PolePositionName,PolePositionSurname,LapCountry,FastestLapName,FastestLapSurname,DriverCountry,WinningDriverName,WinningDriverSurname,ConstructorCountry,WinningConstructor,Circuit,CircuitCity,Date,Event
1,Australia,"Australian Grand Prix",Britain,Lewis,Hamilton,Finland,Kimi,Räikkönen,Germany,Sebastian,Vettel,Italy,Ferrari,"Melbourne Grand Prix Circuit",Melbourne,2018-03-26,"Grand Prix"
2,Chineese,"Chinese Grand Prix",Britain,Lewis,Hamilton,Britain,Lewis,Hamilton,Britain,Lewis,Hamilton,Germany,Mercedes,"Shanghai International Circuit",Shanghai,2018-04-06,"Grand Prix"
3,Bahran,"Bahrain Grand Prix",Finland,Valtteri,Bottas,Britain,Lewis,Hamilton,Germany,Sebastian,Vettel,Italy,Ferrari,"Bahrain International Circuit",Sakhir,2018-04-16,"Grand Prix"
4,Russia,"Russian Grand Prix",Germany,Sebastian,Vettel,Finland,Kimi,Räikkönen,Finland,Valtteri," Bottas",Germany,Mercedes,"Sochi Autodrom",Sochi,2018-04-30,"Grand Prix"
5,Spain,"Spanish Grand Prix",Britain,Lewis,Hamilton,Britain,Lewis,Hamilton,Britain,Lewis," Hamilton",Germany,Mercedes,"Circuit de Barcelona-Catalunya",Barcelona,2018-05-14,"Grand Prix"
6,Monaco,"Monaco Grand Prix",Finland,Kimi,Räikkönen,Mexico,Sergio,Pérez,Germany,Sebastian," Vettel",Italy,Ferrari,"Circuit de Monaco","Monte Carlo",2018-05-28,"Grand Prix"
7,Canada,"Canadian Grand Prix",Britain,Lewis,Hamilton,Britain,Lewis,Hamilton,Britain,Lewis," Hamilton",Germany,Mercedes,"Circuit Gilles Villeneuve",Montreal,2018-06-11,"Grand Prix"
8,Azerbaijan,"Azerbaijan Grand Prix",Britain,Lewis,Hamilton,Germany,Sebastian,Vettel,"New Zealand",Daniel," Ricciardo",Austria,"Red Bull Racing-TAG Heuer","Baku City Circuit",Baku,2018-06-25,"Grand Prix"
9,Austria,"Austrian Grand Prix",Finland,Valtteri,Bottas,Britain,Lewis,Hamilton,Finland,Valtteri," Bottas",Germany,Mercedes,"Red Bull Ring",Spielberg,2018-07-09,"Grand Prix"
10,Britain,"British Grand Prix",Britain,Lewis,Hamilton,Britain,Lewis,Hamilton,Britain,Lewis," Hamilton",Germany,Mercedes,"Silverstone Circuit",Silverstone,2018-07-16,"Grand Prix"
11,Hungary,"Hungarian Grand Prix",Germany,Sebastian,Vettel,Spain,Fernando,Alonso,Germany,Sebastian," Vettel",Italy,Ferrari,"Melbourne Grand Prix Circuit",Melbourne,2018-07-30,"Grand Prix"
12,Belgian,"Belgian Grand Prix",Britain,Lewis,Hamilton,Germany,Sebastian,Vettel,Britain,Lewis," Hamilton",Germany,Mercedes,"Circuit de Spa-Francorchamps",Stavelot,2018-08-27,"Grand Prix"
13,Italy,"Italian Grand Prix",Britain,Lewis,Hamilton,"New Zealand",Daniel,Ricciardo,Britain,Lewis," Hamilton",Germany,Mercedes,"Autodromo Nazionale Monza",Monza,2018-09-03,"Grand Prix"
14,Singapore,"Singapore Grand Prix",Germany,Sebastian,Vettel,Britain,Lewis,Hamilton,Britain,Lewis," Hamilton",Germany,Mercedes,"Marina Bay Street Circuit",Singapore,2018-09-17,"Grand Prix"
15,Malaysia,"Malaysian Grand Prix",Britain,Lewis,Hamilton,Germany,Sebastian,Vettel,Netherlands,Max," Verstappen",Austria,"Red Bull Racing-TAG Heuer","Sepang International Circuit","Kuala Lumpur",2018-10-01,"Grand Prix"
16,Japan,"Japanese Grand Prix",Britain,Lewis,Hamilton,Finland,Valtteri,Bottas,Britain,Lewis," Hamilton",Germany,Mercedes,"Suzuka International Racing Course",Suzuka,2018-10-08,"Grand Prix"
17,US,"United States Grand Prix",Britain,Lewis,Hamilton,Germany,Sebastian,Vettel,Britain,Lewis," Hamilton",Germany,Mercedes,"Circuit of the Americas",Austin,2018-11-22,"Grand Prix"
18,Mexico,"Mexican Grand Prix",Germany,Sebastian,Vettel,Germany,Sebastian,Vettel,Finland,Max," Verstappen",Austria,"Red Bull Racing-TAG Heuer","Autódromo Hermanos Rodríguez","Mexico City",2018-10-29,"Grand Prix"
19,Brazil,"Brazilian Grand Prix",Finland,Valtteri,Bottas,Netherlands,Max,Verstappen,Germany,Sebastian," Vettel",Italy,Ferrari,"Circuit of the Americas",Austin,2018-11-12,"Grand Prix"
20,"Abu Dhabi","Abu Dhabi Grand Prix",Finland,Valtteri,Bottas,Finland,Valtteri,Bottas,Finland,Valtteri," Bottas",Germany,Mercedes,"Yas Marina Circuit","Abu Dhabi",2018-11-26,"Grand Prix"
